course_code,date,start_time,end_time
CS 135,2023-03-06,19:00,20:50
CS 136,2023-03-06,19:00,20:50
CS 146,2023-03-06,19:00,20:50
MATH 137,2023-02-27,19:00,20:50
MATH 128,2023-03-02,19:00,20:50
MATH 138,2023-02-27,19:00,20:50
MATH 138,2023-02-27,19:00,20:50
MATH 148,2023-02-27,19:00,20:50
MATH 135,2023-02-13,19:00,20:50
MATH 136,2023-02-13,19:00,20:50
MATH 146,2023-02-13,19:00,20:50
MATH 239,2023-03-09,16:30,18:20
MATH 249,2023-03-09,16:30,18:20
STAT 230,2023-02-09,16:30,17:50
STAT 230,2023-03-10,18:30,20:00
STAT 231,2023-02-09,16:30,17:50
STAT 231,2023-03-10,20:30,22:00
STAT 241,2023-02-08,16:30,17:50
CS 240,2023-03-02,16:30,18:20
CS 241,2023-03-08,16:30,18:20
CS 245,2023-03-02,16:30,18:20
CS 246,2023-03-07,16:30,18:20
CS 251,2023-02-16,16:30,18:20
CS 341,2023-02-17,16:30,18:00
CS 350,2023-03-09,19:00,20:50
